Time,Species,Individuals
0,Saccharomyces exiguus,156.8
1,Saccharomyces exiguus,39.3
2,Saccharomyces exiguus,18.2
3,Saccharomyces exiguus,8.3
4,Saccharomyces exiguus,30.6
5,Saccharomyces exiguus,57.4
6,Saccharomyces exiguus,117.3
7,Saccharomyces exiguus,109.3
8,Saccharomyces exiguus,49.5
9,Saccharomyces exiguus,18.9
10,Saccharomyces exiguus,9.6
11,Saccharomyces exiguus,19.2
13,Saccharomyces exiguus,68.8
15,Saccharomyces exiguus,128.9
16,Saccharomyces exiguus,129
17,Saccharomyces exiguus,49.5
18,Saccharomyces exiguus,15.7
19,Saccharomyces exiguus,19.8
0,Paramecium aurelia,87.8
1,Paramecium aurelia,177.2
2,Paramecium aurelia,119.5
3,Paramecium aurelia,58.9
4,Paramecium aurelia,9.3
5,Paramecium aurelia,18.2
6,Paramecium aurelia,13.9
7,Paramecium aurelia,54.3
8,Paramecium aurelia,131.3
9,Paramecium aurelia,67.3
10,Paramecium aurelia,30.1
11,Paramecium aurelia,12.1
13,Paramecium aurelia,16.1
15,Paramecium aurelia,30.2
16,Paramecium aurelia,74
17,Paramecium aurelia,168.2
18,Paramecium aurelia,89.1
19,Paramecium aurelia,30.6
